name_file,min_energy,pseudo_energy,log_min_evalue,covarying_bp,MPI,average_MFE_sample,sd_sample,zscore,sci
3_169765521_169765575_14_79.9_0.1_0.47_53.5_3.8_18_+.aln,-0.09407407407407407,-0.20981481481481482,-0.2638721261801697,0.0,79.9,-0.28296296296296297,6.18,-0.18,1.3693
3_169765534_169765593_14_81.4_0.1_0.43_42.8_3.4_11_+.aln,-0.05661016949152542,-0.12728813559322033,0.2606651540233544,0.0,81.4,-0.1764406779661017,4.37,-0.11,0.9761
3_169765537_169765600_14_81.8_0.2_0.41_42.1_2.9_6_+.aln,-0.05714285714285714,-0.11587301587301586,0.23725712987085282,0.0,81.8,-0.16873015873015873,4.73,-0.06,0.8782
3_169765521_169765575_14_79.9_0.1_0.47_53.5_3.8_78_-.aln,-0.15685185185185185,-0.2312962962962963,-0.7099030328808995,0.0,79.9,-0.31555555555555553,5.03,-0.78,1.3474
3_169765534_169765593_14_81.4_0.1_0.43_42.8_3.4_12_-.aln,-0.05661016949152542,-0.10355932203389831,-0.4472539341518833,0.0,81.4,-0.1652542372881356,4.64,-0.12,0.9447
3_169765457_169765545_14_74.7_0.1_0.62_54.2_8.8_6_+.aln,-0.06295454545454546,-0.24352272727272728,-0.31749932698813926,0.0,74.7,-0.3022727272727273,6.48,-0.06,1.2716
3_169765432_169765548_14_76.1_0.1_0.58_49.7_7.4_56_+.aln,-0.06482758620689655,-0.23396551724137932,-0.2738149788635776,0.0,76.1,-0.26474137931034486,6.96,-0.57,1.2822
3_169765380_169765546_14_76.2_0.1_0.57_46.4_20.5_51_+.aln,-0.06981927710843373,-0.19512048192771084,-0.493734504430815,0.0,76.2,-0.24542168674698797,8.43,-0.51,1.1111
3_169765388_169765592_14_76.9_0.1_0.55_44.5_6.1_165_+.aln,-0.06980392156862746,-0.19862745098039217,-0.14896619674923825,0.0,76.9,-0.20622549019607844,8.73,-1.65,1.1992
3_169765138_169765214_14_64.5_0.2_0.85_54.4_9.7_67_+.aln,-0.05447368421052631,-0.16210526315789475,0.15924526293609664,0.0,64.5,-0.17434210526315788,4.81,-0.67,0.7732
3_169765138_169765214_14_64.5_0.2_0.85_54.4_9.7_40_-.aln,-0.03355263157894737,-0.1611842105263158,0.16048954001912571,0.0,64.5,-0.16973684210526316,4.79,-0.4,0.8702
3_169765374_169765582_14_76.7_0.1_0.56_45.5_17.7_36_+.aln,-0.08048076923076922,-0.184375,-0.49819198586806573,0.0,76.7,-0.25403846153846155,9.82,-0.36,1.0967
3_169765380_169765546_14_76.2_0.1_0.57_46.4_20.5_4_-.aln,-0.056204819277108437,-0.19054216867469878,-1.4987886928311795,0.0,76.2,-0.2632530120481928,7.92,-0.04,1.0044
3_169765360_169765544_14_76.2_0.1_0.57_45.4_18.9_68_+.aln,-0.07434782608695652,-0.19211956521739132,-0.5030606703105819,0.0,76.2,-0.2533695652173913,8.54,-0.68,1.1686
3_169765116_169765209_14_64.8_0.2_0.83_56.8_9.3_139_+.aln,-0.11473118279569892,-0.17903225806451611,-0.02955967216464644,0.0,64.8,-0.20827956989247312,6.09,-1.39,0.8533
3_169765120_169765292_14_67.1_0.2_0.77_52.5_17.7_28_+.aln,-0.033255813953488374,-0.13325581395348837,-0.25990270602740745,0.0,67.1,-0.1997674418604651,7.68,-0.28,0.6614
3_169765116_169765209_14_64.8_0.2_0.83_56.8_9.3_138_-.aln,-0.08279569892473118,-0.17537634408602149,-1.7386467121806,1.0,64.8,-0.19043010752688172,6.19,-1.38,0.9219
3_169765388_169765592_14_76.9_0.1_0.55_44.5_6.1_160_-.aln,-0.06892156862745098,-0.20573529411764704,-1.415991223241356,0.0,76.9,-0.2231372549019608,8.78,-1.6,1.1555
3_169765360_169765544_14_76.2_0.1_0.57_45.4_18.9_49_-.aln,-0.07364130434782609,-0.18820652173913044,-1.4426311687928366,0.0,76.2,-0.26304347826086955,7.63,-0.49,1.0303
3_169765097_169765208_14_68.0_0.2_0.76_62.5_7.9_51_+.aln,-0.1518918918918919,-0.18036036036036035,0.028794848648937492,0.0,68.0,-0.29126126126126123,8.87,-0.51,0.8923
3_169765374_169765582_14_76.7_0.1_0.56_45.5_17.7_23_-.aln,-0.051875,-0.21091346153846152,-1.2181448567535926,0.0,76.7,-0.26971153846153845,8.99,-0.23,1.0455
3_169765097_169765208_14_68.0_0.2_0.76_62.5_7.9_74_-.aln,-0.1318918918918919,-0.18576576576576578,0.0022697614900240378,0.0,68.0,-0.2811711711711712,6.69,-0.74,0.9452
3_169765107_169765282_14_68.7_0.2_0.73_55.3_17.2_6_+.aln,-0.05537142857142857,-0.1652,-0.0240211871994449,0.0,68.7,-0.24548571428571428,8.23,-0.06,0.7231
3_169765092_169765198_14_66.8_0.2_0.78_63.3_8.3_180_+.aln,-0.17952830188679247,-0.2321698113207547,0.041601885741593146,0.0,66.8,-0.29273584905660377,6.99,-1.8,1.1452
3_169765095_169765225_14_68.6_0.2_0.74_62.2_7.5_49_+.aln,-0.1376153846153846,-0.1816923076923077,0.1798819821826559,0.0,68.6,-0.2883846153846154,9.41,-0.49,0.8938
3_169765092_169765198_14_66.8_0.2_0.78_63.3_8.3_123_-.aln,-0.11858490566037735,-0.22490566037735849,-1.0414361167780326,0.0,66.8,-0.2729245283018868,7.13,-1.23,1.1066
3_169765091_169765231_14_69.4_0.2_0.72_62.8_7.5_100_+.aln,-0.1475,-0.215,0.12448140095096687,0.0,69.4,-0.3037142857142857,8.79,-1.0,0.9543
3_169765095_169765225_14_68.6_0.2_0.74_62.2_7.5_36_-.aln,-0.10946153846153847,-0.19338461538461538,0.24416822420338685,0.0,68.6,-0.2772307692307692,9.24,-0.36,0.9165
3_169765091_169765231_14_69.4_0.2_0.72_62.8_7.5_80_-.aln,-0.12778571428571428,-0.19714285714285715,-0.09428451201377223,0.0,69.4,-0.28714285714285714,8.61,-0.8,0.9295
3_169765069_169765207_14_69.7_0.2_0.71_62.4_6.5_79_+.aln,-0.15862318840579712,-0.21434782608695652,0.20203307742629037,0.0,69.7,-0.3139855072463768,10.36,-0.79,0.9656
3_169765081_169765282_14_70.7_0.2_0.68_56.5_15.3_57_+.aln,-0.08039800995024876,-0.207363184079602,0.19142306668780784,0.0,70.7,-0.27805970149253734,10.23,-0.58,0.8679
3_169765069_169765207_14_69.7_0.2_0.71_62.4_6.5_64_-.aln,-0.12492753623188405,-0.20108695652173914,-1.0928709148545954,0.0,69.7,-0.29884057971014494,8.2,-0.64,0.932
3_169765057_169765281_14_70.5_0.2_0.69_58.7_14.9_65_+.aln,-0.08665178571428571,-0.2005357142857143,0.26118433173055716,0.0,70.5,-0.2921875,11.77,-0.65,0.8666
3_169765081_169765282_14_70.7_0.2_0.68_56.5_15.3_77_-.aln,-0.08412935323383085,-0.20378109452736318,-0.6347685492398706,0.0,70.7,-0.2735323383084577,8.17,-0.77,0.8987
3_169765053_169765282_14_70.9_0.2_0.68_59.1_14.6_51_+.aln,-0.08729257641921397,-0.20384279475982534,0.25536900426644127,0.0,70.9,-0.3,11.38,-0.51,0.8656
3_169765051_169765283_14_71.1_0.2_0.68_58.8_14.4_52_+.aln,-0.08189655172413793,-0.20620689655172414,0.28667199159842793,0.0,71.1,-0.2943534482758621,11.97,-0.52,0.8578
3_169765057_169765281_14_70.5_0.2_0.69_58.7_14.9_80_-.aln,-0.09924107142857143,-0.20290178571428572,-1.0279754534109682,0.0,70.5,-0.2835267857142857,12.33,-0.8,0.8861
3_169765046_169765282_14_71.6_0.2_0.67_59.5_14.2_49_+.aln,-0.10038135593220339,-0.18597457627118644,0.2905243084366904,0.0,71.6,-0.285635593220339,11.76,-0.49,0.832
3_169765053_169765282_14_70.9_0.2_0.68_59.1_14.6_80_-.aln,-0.09240174672489083,-0.21903930131004365,-0.9136116919322443,0.0,70.9,-0.2978602620087336,10.8,-0.8,0.901
3_169765031_169765282_14_72.3_0.2_0.65_60.6_13.5_38_+.aln,-0.10872509960159363,-0.19286852589641432,0.2567562199748459,0.0,72.3,-0.2960557768924303,12.59,-0.38,0.8469
3_169765051_169765283_14_71.1_0.2_0.68_58.8_14.4_95_-.aln,-0.10974137931034483,-0.22034482758620688,-0.9787321214188874,0.0,71.1,-0.2992672413793104,10.93,-0.95,0.9265
3_169765009_169765061_14_88.6_0.1_0.27_64.2_4.8_82_+.aln,-0.1575,-0.20923076923076925,0.45414790606183786,0.0,88.6,-0.2882692307692308,7.7,-0.82,1.8613
3_169765009_169765061_14_88.6_0.1_0.27_64.2_4.8_121_-.aln,-0.33576923076923076,-0.2246153846153846,-0.09626339584027004,0.0,88.6,-0.40576923076923077,7.69,-1.21,1.516
3_169765046_169765282_14_71.6_0.2_0.67_59.5_14.2_84_-.aln,-0.12228813559322034,-0.204364406779661,-0.9462917099670325,0.0,71.6,-0.29860169491525423,11.48,-0.84,0.8799
3_169765031_169765282_14_72.3_0.2_0.65_60.6_13.5_87_-.aln,-0.14741035856573706,-0.21119521912350597,0.053332028158868394,0.0,72.3,-0.33167330677290835,12.64,-0.87,0.9175
3_169764982_169765113_14_84.4_0.1_0.36_67.8_3.3_32_+.aln,-0.24290076335877864,-0.21572519083969466,0.035709837827861815,0.0,84.4,-0.4403053435114504,10.86,-0.32,1.3231
3_169764982_169765113_14_84.4_0.1_0.36_67.8_3.3_125_-.aln,-0.3364885496183206,-0.23053435114503817,-0.14995447427780398,0.0,84.4,-0.5087786259541985,9.6,-1.25,1.2432
3_169764966_169765114_14_85.4_0.1_0.34_68.4_3.0_7_+.aln,-0.2664189189189189,-0.23013513513513514,0.12096856501937658,0.0,85.4,-0.49668918918918925,12.46,-0.07,1.3417
3_169764924_169764990_14_96.0_0.1_0.08_63.3_0.0_114_+.aln,-0.4043939393939394,-0.22030303030303028,0.6003814608128445,0.0,96.0,-0.5013636363636365,7.07,-1.15,1.5493
3_169764966_169765114_14_85.4_0.1_0.34_68.4_3.0_92_-.aln,-0.33391891891891895,-0.24993243243243243,-0.03355882470069227,0.0,85.4,-0.5447972972972973,10.44,-0.92,1.281
3_169764924_169764990_14_96.0_0.1_0.08_63.3_0.0_118_-.aln,-0.42742424242424243,-0.22924242424242425,0.6004283257321311,0.0,96.0,-0.5151515151515151,7.91,-1.18,1.5334
3_169764912_169765036_14_91.8_0.1_0.19_59.8_1.4_132_+.aln,-0.35258064516129034,-0.2608064516129033,0.8265321914684822,0.0,91.8,-0.5073387096774193,10.4,-1.32,1.651
3_169764917_169765057_14_92.4_0.1_0.17_63.0_1.2_94_+.aln,-0.3271428571428571,-0.25207142857142856,0.8295514109195153,0.0,92.4,-0.4896428571428571,14.04,-0.94,1.6443
3_169764912_169765036_14_91.8_0.1_0.19_59.8_1.4_146_-.aln,-0.36701612903225805,-0.27645161290322584,0.1449445231128805,0.0,91.8,-0.5091129032258065,11.46,-1.46,1.5625
3_169764917_169765057_14_92.4_0.1_0.17_63.0_1.2_130_-.aln,-0.3817142857142857,-0.286,0.06473869233821165,0.0,92.4,-0.5732857142857143,10.2,-1.3,1.5625
3_169764910_169765111_14_88.2_0.1_0.27_65.4_2.2_36_+.aln,-0.30905472636815917,-0.23860696517412935,0.9425447574019181,0.0,88.2,-0.5349751243781095,13.71,-0.36,1.3899
3_169764909_169765041_14_91.8_0.1_0.19_61.3_1.3_112_+.aln,-0.34621212121212125,-0.25681818181818183,0.8856427415949129,0.0,91.8,-0.5157575757575757,10.71,-1.13,1.5899
3_169764892_169764982_14_91.7_0.1_0.19_57.7_3.9_153_+.aln,-0.3396666666666667,-0.27366666666666667,0.6816563330379093,0.0,91.7,-0.4598888888888889,9.04,-1.53,1.6603
3_169764892_169764982_14_91.7_0.1_0.19_57.7_3.9_127_-.aln,-0.2902222222222222,-0.25755555555555554,0.6007279237058787,0.0,91.7,-0.4112222222222222,9.63,-1.27,1.6657
3_169764909_169765041_14_91.8_0.1_0.19_61.3_1.3_141_-.aln,-0.36477272727272725,-0.26984848484848484,0.21950069771775296,0.0,91.8,-0.5231060606060606,10.46,-1.41,1.5504
3_169764923_169765208_14_80.3_0.2_0.46_62.6_4.7_34_+.aln,-0.23136842105263158,-0.20368421052631577,0.10383107722706943,0.0,80.3,-0.42505263157894735,14.27,-0.34,1.1143
3_169764908_169765106_14_88.3_0.1_0.27_64.5_2.2_72_+.aln,-0.31257575757575756,-0.25222222222222224,-0.0014381561413204656,0.0,88.3,-0.5245454545454545,12.55,-0.72,1.4341
3_169764875_169764970_14_92.3_0.1_0.17_54.4_3.7_148_+.aln,-0.2890526315789474,-0.26894736842105266,-1.1663016012359275,0.0,92.3,-0.45,7.44,-1.48,1.6582
3_169764883_169765027_14_91.3_0.1_0.2_54.1_3.6_154_+.aln,-0.32493055555555556,-0.2534027777777778,0.8273188609471308,0.0,91.3,-0.47951388888888885,9.8,-1.54,1.5166
3_169764875_169764970_14_92.3_0.1_0.17_54.4_3.7_141_-.aln,-0.2583157894736842,-0.24957894736842107,0.7698069763836953,0.0,92.3,-0.3738947368421053,8.21,-1.41,1.7786
3_169764910_169765111_14_88.2_0.1_0.27_65.4_2.2_57_-.aln,-0.34348258706467666,-0.24407960199004977,0.16234630845957654,0.0,88.2,-0.5679601990049751,13.13,-0.58,1.314
3_169764883_169765027_14_91.3_0.1_0.2_54.1_3.6_147_-.aln,-0.2829166666666667,-0.24805555555555556,0.4160977161716515,0.0,91.3,-0.4189583333333333,10.98,-1.47,1.5473
3_169764869_169765048_14_90.7_0.1_0.21_58.8_2.9_121_+.aln,-0.32145251396648045,-0.23469273743016758,0.9767157879359923,0.0,90.7,-0.4976536312849162,10.14,-1.21,1.5111
3_169764908_169765106_14_88.3_0.1_0.27_64.5_2.2_40_-.aln,-0.3144444444444444,-0.2689393939393939,0.0348569725379345,0.0,88.3,-0.5695959595959597,13.33,-0.4,1.3244
3_169764860_169765061_14_90.6_0.1_0.21_60.3_3.1_40_+.aln,-0.29761194029850746,-0.23781094527363184,0.8006194884950991,0.0,90.6,-0.5223880597014925,12.85,-0.4,1.4984
3_169764863_169765085_14_87.6_0.1_0.28_62.1_3.6_28_+.aln,-0.26887387387387385,-0.22815315315315315,0.9768852940983856,0.0,87.6,-0.48986486486486486,14.22,-0.29,1.3266
3_169764869_169765048_14_90.7_0.1_0.21_58.8_2.9_124_-.aln,-0.3242458100558659,-0.2515642458100559,0.1717995610487246,0.0,90.7,-0.49949720670391057,11.82,-1.24,1.5123
3_169764923_169765208_14_80.3_0.2_0.46_62.6_4.7_86_-.aln,-0.2746315789473684,-0.2150877192982456,0.03740657571846351,0.0,80.3,-0.4682456140350877,13.05,-0.86,1.1518
3_169764854_169765045_14_90.5_0.1_0.22_60.3_2.8_184_+.aln,-0.34607329842931933,-0.2650261780104712,0.04023038049753062,0.0,90.5,-0.5210471204188482,10.65,-1.84,1.4158
3_169764860_169765061_14_90.6_0.1_0.21_60.3_3.1_123_-.aln,-0.33318407960199004,-0.25611940298507463,0.4838083101630657,0.0,90.6,-0.5197512437810945,11.2,-1.23,1.467
3_169764849_169765047_14_90.3_0.1_0.22_60.6_2.7_151_+.aln,-0.34035353535353535,-0.2687878787878788,0.05731989942427621,0.0,90.3,-0.5343434343434343,11.38,-1.51,1.4107
3_169764854_169765045_14_90.5_0.1_0.22_60.3_2.8_233_-.aln,-0.3669633507853403,-0.2771204188481675,-0.43822145425846176,0.0,90.5,-0.49664921465968587,12.24,-2.33,1.5002
3_169764863_169765085_14_87.6_0.1_0.28_62.1_3.6_40_-.aln,-0.2971621621621622,-0.25454954954954956,0.2814651731995283,0.0,87.6,-0.5292342342342342,14.3,-0.4,1.3323
3_169764841_169765115_14_87.7_0.1_0.28_64.4_2.9_86_+.aln,-0.30678832116788324,-0.253029197080292,-0.08615966705276162,0.0,87.7,-0.5308029197080292,13.39,-0.86,1.3397
3_169764849_169765047_14_90.3_0.1_0.22_60.6_2.7_212_-.aln,-0.36944444444444446,-0.28045454545454546,-0.4146092144556528,0.0,90.3,-0.5205555555555555,12.27,-2.12,1.499
3_169764838_169765082_14_87.9_0.1_0.28_63.9_3.3_80_+.aln,-0.30262295081967217,-0.26618852459016396,-2.1313955255883483,1.0,87.9,-0.5285245901639345,15.35,-0.8,1.3763
3_169764837_169765078_14_88.4_0.1_0.26_64.0_3.3_97_+.aln,-0.30809128630705396,-0.26950207468879667,-3.753592522272771,1.0,88.4,-0.5322821576763486,13.79,-0.97,1.401
3_169764827_169765111_14_87.8_0.1_0.28_65.0_2.8_76_+.aln,-0.30940140845070424,-0.27070422535211264,0.1578494804529017,0.0,87.8,-0.5523239436619719,14.54,-0.76,1.3543
